Publication Year,Author,Title,Publication Title,DOI,Url
2026,Miske et al.,Investigating the reproducibility of the social and behavioral sciences,Nature,10.1038/s41586-026-10203-5,https://doi.org/10.1038/s41586-026-10203-5
2026,Tyner et al.,Investigating the replicability of the social and behavioral sciences,Nature,10.1038/s41586-025-10078-y,https://doi.org/10.1038/s41586-025-10078-y
2025,Amaral et al.,Estimating the replicability of Brazilian biomedical science,,10.1101/2025.04.02.645026,https://doi.org/10.1101/2025.04.02.645026
2025,Murphy et al,Estimating the Replicability of Sports and Exercise Science Research,Sports Medicine,10.1007/s40279-025-02201-w,https://doi.org/10.1007/s40279-025-02201-w
2026,Lemaitre et al.,A retrospective analysis of 400 publications reveals patterns of irreproducibility across an entire life sciences research field,eLife,10.7554/eLife.108403.1,https://doi.org/10.1101/2025.07.07.663442
2024,Boyce et al.,Estimating the Replicability of Psychology Experiments After an Initial Failure to Replicate Open Access,,10.1525/collabra.125685,https://doi.org/10.1525/collabra.125685
2024,Brodeur et al.,Mass Reproducibility and Replicability: A New Hope,IZA Discussion Paper No. 16912,,https://ssrn.com/abstract=4790780
2024,Jaric et al.,Using mice from different breeding sites fails to improve replicability of results from single-laboratory studies,Lab Animal,10.1038/s41684-023-01307-w,https://www.nature.com/articles/s41684-023-01307-w
2024,Chang et al.,Leveraging real-world data to assess treatment sequences in health economic evaluations: a study protocol for emulating target trials using the English Cancer Registry and US Electronic Health Records-Derived Database,HEDS Discussion Paper,,https://eprints.whiterose.ac.uk/208318/
2024,Marcoci et al.,Predicting the replicability of social and behavioural science claims from the COVID-19 Preprint Replication Project with structured expert and novice groups,,10.31222/osf.io/xdsjf,https://osf.io/xdsjf
2024,Fišar et al.,Reproducibility in Management Science,,10.31219/osf.io/mydzv,https://osf.io/mydzv
2023,Kirkby and Robert,Quantitative Macroeconomics: Lessons Learned from Fourteen Replications,Computational Economics,10.1007/s10614-022-10234-w,https://doi.org/10.1007/s10614-022-10234-w
2023,Wang et al.,Emulation of Randomized Clinical Trials With Nonrandomized Database Analyses: Results of 32 Clinical Trials,JAMA,10.1001/jama.2023.4221,https://doi.org/10.1001/jama.2023.4221
2023,Protzko et al.,High replicability of newly discovered social-behavioural findings is achievable,Nature Human Behaviour,10.1038/s41562-023-01749-9,https://www.nature.com/articles/s41562-023-01749-9
2023,Coretta et al.,Multidimensional Signals and Analytic Flexibility: Estimating Degrees of Freedom in Human-Speech Analyses,Advances in Methods and Practices in Psychological Science,10.1177/25152459231162567,https://doi.org/10.1177/25152459231162567
2023,Boyce et al.,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.1098/rsos.231240,https://royalsocietypublishing.org/doi/10.1098/rsos.231240
2023,Hoogeveen et al.,A many-analysts approach to the relation between religiosity and well-being,"Religion, Brain & Behavior",10.1080/2153599X.2022.2070255,https://doi.org/10.1080/2153599X.2022.2070255
2022,Wang et al.,Reproducibility of real-world evidence studies using clinical practice data to inform regulatory and coverage decisions,Nature Communications,10.1038/s41467-022-32310-3,https://www.nature.com/articles/s41467-022-32310-3
2022,Arroyo-Araujo et al.,Systematic assessment of the replicability and generalizability of preclinical findings: Impact of protocol harmonization across laboratory sites,PLOS Biology,10.1371/journal.pbio.3001886,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001886
2022,Breznau et al.,Observing many researchers using the same data and hypothesis reveals a hidden universe of uncertainty,Proceedings of the National Academy of Sciences,10.1073/pnas.2203150119,https://www.pnas.org/doi/10.1073/pnas.2203150119
2022,Chang and Li,Is Economics Research Replicable? Sixty Published Papers From Thirteen Journals Say “Often Not”,Critical Finance Review,10.1561/104.00000053,http://www.nowpublishers.com/article/Details/CFR-0053
2021,Errington et al.,Investigating the replicability of preclinical cancer biology,eLife,10.7554/eLife.71601,https://doi.org/10.7554/eLife.71601
2021,Cova et al.,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,10.1007/s13164-018-0400-9,https://doi.org/10.1007/s13164-018-0400-9
2021,Schweinsberg et al.,"Same data, different conclusions: Radical dispersion in empirical results when independent analysts operationalize and test the same hypothesis",Organizational Behavior and Human Decision Processes,10.1016/j.obhdp.2021.02.003,https://www.sciencedirect.com/science/article/pii/S0749597821000200
2021,Veronese et al.,Reproducibility of findings in modern PET neuroimaging: insight from the NRM2018 grand challenge,Journal of Cerebral Blood Flow and Metabolism: Official Journal of the International Society of Cerebral Blood Flow and Metabolism,10.1177/0271678X211015101,https://doi.org/10.1177/0271678X211015101 
2021,Page et al.,The REPRISE project: protocol for an evaluation of REProducibility and Replicability In Syntheses of Evidence,Systematic Reviews,10.1186/s13643-021-01670-0,https://doi.org/10.1186/s13643-021-01670-0
2021,Huntington-Klein et al.,The influence of hidden researcher decisions in applied microeconomics,Economic Inquiry,10.1111/ecin.12992,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12992
2020,Ebersole et al.,Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability,Advances in Methods and Practices in Psychological Science,10.1177/2515245920958687,https://doi.org/10.1177/2515245920958687
2020,Bastiaansen et al.,Time to get personal? The impact of researchers choices on the selection of treatment targets using the experience sampling methodology,Journal of Psychosomatic Research,10.1016/j.jpsychores.2020.110211,https://www.sciencedirect.com/science/article/pii/S002239992030773X
2020,Botvinik-Nezer et al. ,Variability in the analysis of a single neuroimaging dataset by many teams,Nature,10.1038/s41586-020-2314-9,https://www.nature.com/articles/s41586-020-2314-9
2020,Salganik et al.,Measuring the predictability of life outcomes with a scientific mass collaboration,Proceedings of the National Academy of Sciences,10.1073/pnas.1915006117,https://www.pnas.org/doi/10.1073/pnas.1915006117
2019,Arroyo-Araujo et al.,Reproducibility via coordinated standardization: a multi-center study in a Shank2 genetic rat model for Autism Spectrum Disorders,Scientific Reports,10.1038/s41598-019-47981-0,https://www.nature.com/articles/s41598-019-47981-0
2019,Soto,How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project,Psychological Science,10.1177/0956797619831612,https://doi.org/10.1177/0956797619831612
2019,van Dongen et al.,Multiple Perspectives on Inference for Two Simple Statistical Scenarios,The American Statistician,10.1080/00031305.2019.1565553,https://doi.org/10.1080/00031305.2019.1565553
2018,Camerer et al.,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,10.1038/s41562-018-0399-z,https://www.nature.com/articles/s41562-018-0399-z
2018,Klein et al.,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,Advances in Methods and Practices in Psychological Science,10.1177/2515245918810225,https://doi.org/10.1177/2515245918810225
2018,Milcu et al.,Genotypic variability enhances the reproducibility of an ecological study,Nature Ecology & Evolution,10.1038/s41559-017-0434-x,https://www.nature.com/articles/s41559-017-0434-x
2018,Boehm et al.,Estimating across-trial variability parameters of the Diffusion Decision Model: Expert advice and recommendations,Journal of Mathematical Psychology,10.1016/j.jmp.2018.09.004,https://www.sciencedirect.com/science/article/pii/S002224961830021X
2018,Silberzahn et al.,"Many Analysts, One Data Set: Making Transparent How Variations in Analytic Choices Affect Results",Advances in Methods and Practices in Psychological Science,10.1177/2515245917747646,https://doi.org/10.1177/2515245917747646
2018,Naudet et al.,Data sharing and reanalysis of randomized controlled trials in leading biomedical journals with a full data sharing policy: survey of studies published in The BMJ and PLOS Medicine,BMJ,10.1136/bmj.k400,https://www.bmj.com/content/360/bmj.k400
2018,Irvine et al.,"Law and Psychology Grows Up, Goes Online, and Replicates",Journal of Empirical Legal Studies,10.1111/jels.12180,https://onlinelibrary.wiley.com/doi/abs/10.1111/jels.12180
2017,Maier-Hein et al.,The challenge of mapping the human connectome based on diffusion tractography,Nature Communications,10.1038/s41467-017-01285-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677006/
2017,Low et al.,Comparison of two independent systematic reviews of trials of recombinant human bone morphogenetic protein-2 (rhBMP-2): the Yale Open Data Access Medtronic Project,Systematic Reviews,10.1186/s13643-017-0422-x,https://doi.org/10.1186/s13643-017-0422-x
2017,Bouwmeester et al. ,"Registered Replication Report: Rand, Greene, and Nowak (2012)",Perspectives on Psychological Science,10.1177/1745691617693624,https://doi.org/10.1177/1745691617693624
2016,Camerer et al.,Evaluating replicability of laboratory experiments in economics,Science,10.1126/science.aaf0918,https://www.science.org/doi/10.1126/science.aaf0918
2016,Ebersole et al.,Many Labs 3: Evaluating participant pool quality across the academic semester via replication,Journal of Experimental Social Psychology,10.1016/j.jesp.2015.10.012,https://www.sciencedirect.com/science/article/pii/S0022103115300123
2016,Hagger et al.,A Multilab Preregistered Replication of the Ego-Depletion Effect,Perspectives on Psychological Science: A Journal of the Association for Psychological Science,10.1177/1745691616652873,https://doi.org/10.1177/1745691616652873 
2016,Wagenmakers et al.,"Registered Replication Report: Strack, Martin, & Stepper (1988)",Perspectives on Psychological Science,10.1177/1745691616674458,https://doi.org/10.1177/1745691616674458
2016,Cheung et al.,"Registered Replication Report: Study 1 From Finkel, Rusbult, Kumashiro, & Hannon (2002)",Perspectives on Psychological Science,10.1177/1745691616664694,https://doi.org/10.1177/1745691616664694
2015,Open Science Collaboration,Estimating the reproducibility of psychological science,Science,10.1126/science.aac4716,https://www.science.org/doi/10.1126/science.aac4716
2014,Klein et al.,Investigating Variation in Replicability,Social Psychology,10.1027/1864-9335/a000178,https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178
2013,Balli and Sørensen,Interaction effects in econometrics,Empirical Economics,10.1007/s00181-012-0604-2,https://doi.org/10.1007/s00181-012-0604-2
2012,Amini and Parmeter,Comparison of Model Averaging Techniques: Assessing Growth Determinants,Journal of Applied Econometrics,10.1002/jae.2288,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2288
2012,Steward et al.,Replication and reproducibility in spinal cord injury research,Experimental Neurology,10.1016/j.expneurol.2011.06.017,https://doi.org/10.1016/j.expneurol.2011.06.017
2008,Hanousek et al.,A rise by any other name? Sensitivity of growth regressions to data source,Journal of Macroeconomics,10.1016/j.jmacro.2007.08.015,https://www.sciencedirect.com/science/article/pii/S016407040700122X
2007,Brauer,"Data, Models, Coefficients: The Case of United States Military Expenditure",Conflict Management and Peace Science,10.1080/07388940601102845,https://doi.org/10.1080/07388940601102845
